timestamp,fx,fy,cx,cy,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
8164925418850,590.3425,591.3333,371.54962,200.16672,0.9783435,-0.20315675,-0.039694324,0.0,0.18027304,0.9304657,-0.31896412,0.0,0.10173329,0.30490002,0.9469365,0.0,-0.009791612,0.014737606,-0.06309365,1.0
8164925752048,590.3425,591.3333,371.54962,200.16672,0.97859806,-0.20180273,-0.040323313,0.0,0.17905982,0.9315494,-0.31647447,0.0,0.101428,0.3024803,0.9477448,0.0,-0.010066649,0.015132381,-0.062275063,1.0
8164926085246,590.3425,591.3333,371.54962,200.16672,0.97882307,-0.20047167,-0.041481845,0.0,0.17763136,0.93242335,-0.3147011,0.0,0.10176667,0.30066758,0.94828486,0.0,-0.010478502,0.015453179,-0.061657783,1.0
8164926418445,590.3425,591.3333,371.54962,200.16672,0.97898835,-0.19936357,-0.042905185,0.0,0.17626378,0.9330493,-0.3136127,0.0,0.10255488,0.29945993,0.9485822,0.0,-0.010990129,0.015704181,-0.06136427,1.0
8164926751643,590.3425,591.3333,371.54962,200.16672,0.9791671,-0.19813429,-0.04448865,0.0,0.17467192,0.933522,-0.31309664,0.0,0.1035656,0.29880247,0.94868,0.0,-0.01156436,0.015899457,-0.061329648,1.0
8164927084842,590.3425,591.3333,371.54962,200.16672,0.9793654,-0.19677158,-0.04614122,0.0,0.17288524,0.93388087,-0.3130185,0.0,0.10468276,0.2985817,0.9486268,0.0,-0.012139369,0.016015332,-0.061563767,1.0
8164927418041,590.3425,591.3333,371.54962,200.16672,0.97952276,-0.19563848,-0.04759321,0.0,0.17132297,0.93403065,-0.31343007,0.0,0.10577183,0.29885748,0.94841903,0.0,-0.012681752,0.016025443,-0.061941925,1.0
8164927751239,590.3425,591.3333,371.54962,200.16672,0.9796545,-0.1947147,-0.048651386,0.0,0.17001224,0.9339352,-0.31442547,0.0,0.10665994,0.29975662,0.9480357,0.0,-0.013127507,0.015944473,-0.062469732,1.0
8164928084438,590.3425,591.3333,371.54962,200.16672,0.9797526,-0.19411317,-0.049082976,0.0,0.1691472,0.9336097,-0.3158553,0.0,0.1071355,0.3011573,0.94753814,0.0,-0.013366532,0.015748007,-0.06299485,1.0
8164928417636,590.3425,591.3333,371.54962,200.16672,0.9798108,-0.19388168,-0.048837814,0.0,0.16882105,0.93312824,-0.3174493,0.0,0.1071189,0.30279472,0.94701797,0.0,-0.013439402,0.015519766,-0.06350182,1.0
8164928750834,590.3425,591.3333,371.54962,200.16672,0.979824,-0.19399989,-0.04809812,0.0,0.16902673,0.9326909,-0.31862262,0.0,0.106672905,0.3040636,0.94666165,0.0,-0.0133101065,0.015312717,-0.06386271,1.0
8164929084033,590.3425,591.3333,371.54962,200.16672,0.97978884,-0.19444901,-0.046980932,0.0,0.16971643,0.9323231,-0.31933182,0.0,0.10589457,0.30490378,0.9464787,0.0,-0.013007821,0.015170321,-0.06409454,1.0
8164929417231,590.3425,591.3333,371.54962,200.16672,0.979708,-0.19515246,-0.0457383,0.0,0.1707178,0.93198884,-0.31977305,0.0,0.10503147,0.3054754,0.9463906,0.0,-0.012605376,0.015049007,-0.064172864,1.0
8164929750430,590.3425,591.3333,371.54962,200.16672,0.97957236,-0.19612262,-0.04447384,0.0,0.17200702,0.93168306,-0.31997243,0.0,0.104188845,0.30578586,0.9463838,0.0,-0.012133308,0.014948552,-0.064092465,1.0
8164930083629,590.3425,591.3333,371.54962,200.16672,0.9794092,-0.19719434,-0.043319758,0.0,0.17339629,0.9314739,-0.31983277,0.0,0.10341978,0.30573505,0.9464842,0.0,-0.011634942,0.014891172,-0.06386535,1.0
8164930416827,590.3425,591.3333,371.54962,200.16672,0.9792388,-0.19825868,-0.042304657,0.0,0.17477074,0.9313766,-0.3193677,0.0,0.10271838,0.30534297,0.94668746,0.0,-0.011164422,0.014896341,-0.0635402,1.0
8164930750026,590.3425,591.3333,371.54962,200.16672,0.9791075,-0.19906569,-0.041537344,0.0,0.17585118,0.9314186,-0.31865078,0.0,0.10212045,0.30468848,0.9469627,0.0,-0.01072796,0.014953267,-0.0631665,1.0
8164931083224,590.3425,591.3333,371.54962,200.16672,0.9790193,-0.19959854,-0.041048262,0.0,0.1765967,0.93156034,-0.31782314,0.0,0.101675384,0.3039056,0.94726205,0.0,-0.010391077,0.015039416,-0.06276108,1.0
8164931416422,590.3425,591.3333,371.54962,200.16672,0.97897786,-0.19985911,-0.040776428,0.0,0.17701817,0.931769,-0.31697667,0.0,0.101344176,0.30309445,0.9475572,0.0,-0.010150336,0.015141668,-0.062406395,1.0
8164931749621,590.3425,591.3333,371.54962,200.16672,0.9789323,-0.20011452,-0.04063171,0.0,0.17739254,0.93197465,-0.31616086,0.0,0.101135425,0.30229166,0.9478364,0.0,-0.009982062,0.015248533,-0.06215191,1.0
8164932082819,590.3425,591.3333,371.54962,200.16672,0.9788746,-0.20046681,-0.040278506,0.0,0.17798695,0.93234426,-0.3147322,0.0,0.10064636,0.30091408,0.94832706,0.0,-0.009950739,0.014855649,-0.06113293,1.0
8164932416018,590.3425,591.3333,371.54962,200.16672,0.9788416,-0.20064372,-0.04018788,0.0,0.17820896,0.9323843,-0.31448734,0.0,0.10057005,0.3006714,0.9484119,0.0,-0.009919906,0.014894534,-0.061179686,1.0
