timestamp,fx,fy,cx,cy,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
9030638020,591.2131,592.22864,371.5718,200.20032,0.94558185,-0.0880882,-0.31323683,0.0,-0.17171922,0.68259764,-0.71033454,0.0,0.27638626,0.7254677,0.63032514,0.0,-0.30631673,-0.20813775,-0.55730927,1.0
9030971216,591.2131,592.22864,371.5718,200.20032,0.94647497,-0.09013082,-0.30994076,0.0,-0.16861585,0.6807329,-0.712863,0.0,0.27523717,0.72696716,0.6290984,0.0,-0.3058393,-0.20813864,-0.5575701,1.0
9031304413,591.2131,592.22864,371.5718,200.20032,0.94726866,-0.09218927,-0.3068955,0.0,-0.16534339,0.6797679,-0.7145479,0.0,0.2744912,0.7276115,0.6286798,0.0,-0.30548453,-0.20798671,-0.5579578,1.0
9031637609,591.2131,592.22864,371.5718,200.20032,0.9480171,-0.09421061,-0.30395722,0.0,-0.16216445,0.6788218,-0.7161747,0.0,0.27380347,0.7282362,0.6282565,0.0,-0.30518293,-0.20788902,-0.5584443,1.0
9031970806,591.2131,592.22864,371.5718,200.20032,0.94881356,-0.09595382,-0.30091268,0.0,-0.15902086,0.678038,-0.717621,0.0,0.27288783,0.7287388,0.628072,0.0,-0.3049382,-0.20780712,-0.5590701,1.0
9032304003,591.2131,592.22864,371.5718,200.20032,0.9496043,-0.096851796,-0.29811716,0.0,-0.15645456,0.6776793,-0.718523,0.0,0.2716172,0.72895324,0.6283732,0.0,-0.3047521,-0.20776129,-0.5598347,1.0
9032637199,591.2131,592.22864,371.5718,200.20032,0.95064664,-0.097059354,-0.29470587,0.0,-0.15404165,0.67685854,-0.7198167,0.0,0.26933894,0.7296879,0.628502,0.0,-0.30455184,-0.20786428,-0.56072104,1.0
9032970396,591.2131,592.22864,371.5718,200.20032,0.9518113,-0.09687109,-0.29098716,0.0,-0.15162906,0.6760927,-0.72104776,0.0,0.2665823,0.7304227,0.6288233,0.0,-0.3043692,-0.20800191,-0.5617126,1.0
9033303592,591.2131,592.22864,371.5718,200.20032,0.9529359,-0.09682779,-0.28729656,0.0,-0.14908203,0.67548406,-0.7221483,0.0,0.26398793,0.7309911,0.6292573,0.0,-0.30430806,-0.20812553,-0.5627533,1.0
9033636789,591.2131,592.22864,371.5718,200.20032,0.9537751,-0.09728302,-0.28434384,0.0,-0.14688441,0.67454433,-0.72347605,0.0,0.26218385,0.73179805,0.6290734,0.0,-0.3045088,-0.20830214,-0.5636908,1.0
9033969986,591.2131,592.22864,371.5718,200.20032,0.95410335,-0.09881204,-0.2827111,0.0,-0.14493516,0.67374265,-0.72461486,0.0,0.26207468,0.7323315,0.62849826,0.0,-0.30510223,-0.20840847,-0.5645144,1.0
9034303182,591.2131,592.22864,371.5718,200.20032,0.95420897,-0.100265995,-0.2818411,0.0,-0.14346597,0.6733539,-0.7252689,0.0,0.262498,0.7324916,0.6281344,0.0,-0.305889,-0.20835489,-0.56523967,1.0
9034636378,591.2131,592.22864,371.5718,200.20032,0.954129,-0.10158515,-0.28164005,0.0,-0.1423713,0.6735805,-0.7252736,0.0,0.26338372,0.73210126,0.62821937,0.0,-0.3067994,-0.20810258,-0.5658494,1.0
9034969575,591.2131,592.22864,371.5718,200.20032,0.9540975,-0.10220091,-0.28152317,0.0,-0.14149603,0.6746473,-0.7244528,0.0,0.26396817,0.73103225,0.62921757,0.0,-0.30762935,-0.20766747,-0.5663598,1.0
9035302771,591.2131,592.22864,371.5718,200.20032,0.953967,-0.10241531,-0.2818879,0.0,-0.14130963,0.6755407,-0.7236568,0.0,0.2645396,0.7301773,0.6299704,0.0,-0.30835748,-0.2071473,-0.5666704,1.0
9035635968,591.2131,592.22864,371.5718,200.20032,0.95383656,-0.1025168,-0.28228986,0.0,-0.14088085,0.6773767,-0.7220219,0.0,0.2652357,0.7284596,0.6316636,0.0,-0.30888605,-0.20647758,-0.5668356,1.0
9035969165,591.2131,592.22864,371.5718,200.20032,0.9536513,-0.102555126,-0.28290212,0.0,-0.14059031,0.6793706,-0.72020245,0.0,0.2660553,0.7265947,0.6334639,0.0,-0.30922544,-0.20574856,-0.566798,1.0
9036302361,591.2131,592.22864,371.5718,200.20032,0.9532155,-0.10277635,-0.28428733,0.0,-0.14096813,0.6807912,-0.71878624,0.0,0.26741418,0.72523296,0.63445216,0.0,-0.30934787,-0.20508933,-0.56641877,1.0
9036635558,591.2131,592.22864,371.5718,200.20032,0.95274544,-0.1030505,-0.28576052,0.0,-0.1413871,0.68216944,-0.7173961,0.0,0.26886463,0.7238982,0.6353632,0.0,-0.30912912,-0.20446515,-0.565747,1.0
9036968755,591.2131,592.22864,371.5718,200.20032,0.95213234,-0.10354312,-0.2876193,0.0,-0.14200576,0.6833877,-0.7161137,0.0,0.27070343,0.7226775,0.635971,0.0,-0.30859149,-0.2038266,-0.56472063,1.0
9037301951,591.2131,592.22864,371.5718,200.20032,0.95160836,-0.10346949,-0.28937414,0.0,-0.14306915,0.68419826,-0.71512634,0.0,0.2719827,0.72192013,0.6362851,0.0,-0.30754387,-0.20316881,-0.56336385,1.0
9037635147,591.2131,592.22864,371.5718,200.20032,0.9508966,-0.10309152,-0.2918386,0.0,-0.14518593,0.68416065,-0.71473616,0.0,0.2733472,0.7220104,0.63559806,0.0,-0.306005,-0.20239341,-0.561512,1.0
9037968344,591.2131,592.22864,371.5718,200.20032,0.94999325,-0.10306041,-0.29477692,0.0,-0.14680094,0.68576944,-0.71286196,0.0,0.2756163,0.72048676,0.6363464,0.0,-0.30404723,-0.20121658,-0.5593844,1.0
9038301541,591.2131,592.22864,371.5718,200.20032,0.94906646,-0.103363454,-0.2976426,0.0,-0.14813238,0.6873714,-0.7110416,0.0,0.2780862,0.7189153,0.6370491,0.0,-0.30172646,-0.19992977,-0.5568563,1.0
9038634737,591.2131,592.22864,371.5718,200.20032,0.9476743,-0.10407469,-0.30180067,0.0,-0.15023926,0.68874264,-0.70927006,0.0,0.28167945,0.71749854,0.6370671,0.0,-0.29928768,-0.1986304,-0.553756,1.0
9038967933,591.2131,592.22864,371.5718,200.20032,0.9457333,-0.10446596,-0.30769727,0.0,-0.1537911,0.690254,-0.70703614,0.0,0.28624997,0.71598816,0.63672984,0.0,-0.29680812,-0.19730973,-0.55009025,1.0
9039301130,591.2131,592.22864,371.5718,200.20032,0.94341874,-0.104393035,-0.31474584,0.0,-0.15838109,0.6920471,-0.7042642,0.0,0.29133892,0.7142652,0.63635606,0.0,-0.29413414,-0.19586265,-0.54585886,1.0
9039634327,591.2131,592.22864,371.5718,200.20032,0.9409162,-0.103355,-0.3224835,0.0,-0.16373491,0.6947283,-0.70038927,0.0,0.2964269,0.71180904,0.63675797,0.0,-0.29108,-0.19412702,-0.54113835,1.0
9039967523,591.2131,592.22864,371.5718,200.20032,0.93835294,-0.10179864,-0.33035243,0.0,-0.16921589,0.69806075,-0.6957584,0.0,0.30143273,0.70876694,0.63780075,0.0,-0.28756154,-0.19210482,-0.5360029,1.0
9040300720,591.2131,592.22864,371.5718,200.20032,0.93621916,-0.09995879,-0.33690223,0.0,-0.1740422,0.7009756,-0.6916247,0.0,0.3052939,0.7061471,0.63886905,0.0,-0.28325725,-0.18999225,-0.5304328,1.0
9040633916,591.2131,592.22864,371.5718,200.20032,0.93446726,-0.09884795,-0.34205496,0.0,-0.17727053,0.7039923,-0.68772984,0.0,0.3087842,0.7032964,0.6403344,0.0,-0.27822876,-0.18772817,-0.5245427,1.0
9040967113,591.2131,592.22864,371.5718,200.20032,0.9332723,-0.09829796,-0.34545982,0.0,-0.17827246,0.70821047,-0.6831244,0.0,0.3118075,0.69912666,0.643429,0.0,-0.27250612,-0.18522298,-0.5185077,1.0
9041300309,591.2131,592.22864,371.5718,200.20032,0.9321971,-0.097413145,-0.34859896,0.0,-0.17961296,0.7116623,-0.6791747,0.0,0.31424487,0.695737,0.6459125,0.0,-0.26623058,-0.18269914,-0.5120697,1.0
9041633506,591.2131,592.22864,371.5718,200.20032,0.9308597,-0.09621378,-0.35248446,0.0,-0.18110037,0.7163779,-0.67380035,0.0,0.31734055,0.69104815,0.64942276,0.0,-0.25962734,-0.17983168,-0.50540155,1.0
9041966703,591.2131,592.22864,371.5718,200.20032,0.93014586,-0.09377797,-0.35501605,0.0,-0.18154898,0.72294635,-0.6666266,0.0,0.3191716,0.6845119,0.6554194,0.0,-0.25243723,-0.17662787,-0.49875185,1.0
